-|---------|----------|---------|---------|-------------------
   |   41.46 |       60 |      75 |   41.46 | 17-21,37-52,56-62 
   |   34.04 |      100 |       0 |   34.04 | 22-27,31-57       
   |   94.69 |    91.54 |     100 |   94.69 | ...45-249,318-324 
   |   96.03 |       96 |     100 |   96.03 | 28-29,57-58       
   |      95 |    93.42 |     100 |      95 | ...66-167,344-346 
   |   96.36 |     90.9 |     100 |   96.36 | 70-71             
   |   46.34 |    66.66 |      50 |   46.34 | 24-25,40-41,50-73 
   |    80.7 |    75.43 |      75 |    80.7 | ...12-313,316-317 
   |   86.86 |    88.46 |     100 |   86.86 | 115-124,131-140   
   |     100 |      100 |     100 |     100 |                   
   |   83.51 |    83.33 |     100 |   83.51 | ...95-100,108-114 
   |   63.21 |    73.33 |   57.14 |   63.21 | ...24-134,140-141 
   |   40.78 |    36.36 |      80 |   40.78 | ...11-112,118-123 
   |   62.55 |    73.21 |     100 |   62.55 | ...54-274,319-334 
   |   86.66 |    73.33 |     100 |   86.66 | 22-23,25-26,43-44 
   |     100 |      100 |     100 |     100 |                   
   |    92.1 |       75 |     100 |    92.1 | 46-47,57-58,74-75 
   |   84.44 |    72.72 |   83.33 |   84.44 | 27-28,34-35,70-72 
   |   97.72 |    97.05 |     100 |   97.72 | 102-103           
   |   60.97 |    33.33 |      75 |   60.97 | ...33,46-48,52-57 
-|---------|----------|---------|---------|-------------------
